step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
76366	54550000	21	12.6307782521	3613	286.04729874	392876.0	108.739551619	-1000.0	100000.0	0.967616938832	0	2	69.077582372	-169.0	540.230693013	685791.0	173.773	13127.7	100	8	6	2	32	4.36111111111	12.6666666667	11.8148148148	4	-1650	0
80042	54550000	22	13.054885075	3676	281.58041828	486672.0	132.391730141	-1002.0	100000.0	0.996191512514	0	2	68.9948751284	-242.0	533.35330994	770511.0	179.869	13436.3	100	6	11	3	34	4.10256410256	12.0373831776	12.4571428571	5	-1922	0
83695	54550000	23	12.8728403554	3653	283.775755711	85425.0	23.3848891322	-1011.0	100000.0	1.01532986586	0	2	69.1802759896	-187.0	538.265975839	781840.0	180.4	13327.2	100	5	12	1	40	3.80487804878	12.5477178423	3.83333333333	1	-2140	0
87348	54550000	24	13.0316461758	3653	280.317616879	183954.0	50.3569668765	-1004.0	100000.0	1.02710101287	0	2	69.6881959678	-193.0	531.819207801	737156.0	181.506	13340.9	100	10	9	0	51	3.50943396226	9.6462585034	6.0	2	-2242	0
90975	54550000	25	13.1837924332	3627	275.110520617	192626.0	53.1089054315	-1000.0	100000.0	0.908188585608	0	2	69.0397684581	-266.0	504.221903015	763070.0	181.072	13407.5	100	3	7	2	51	3.45283018868	11.9172932331	8.0	2	-1524	0
94585	54550000	26	13.3587619694	3610	270.234622659	-12751.0	-3.53213296399	-1000.0	81.0	1.05734072022	0	2	69.8851499687	-221.0	546.387558849	848107.0	194.27	13534.9	0	8	6	3	70	2.84285714286	8.9512195122	NA	0	-2304	0
98244	54550000	27	14.1548227921	3659	258.498467535	287120.0	78.4695271932	-1002.0	100000.0	0.907078436731	0	2	69.9533079881	-219.0	538.963176335	726011.0	179.268	13481.1	100	12	5	0	40	3.88372093023	12.7975206612	4.0	3	-1862	90
101892	54550000	28	13.6318188088	3648	267.609190759	282213.0	77.3610197368	-1002.0	100000.0	0.805098684211	0	2	70.2115504714	-200.0	527.063768355	894730.0	201.912	14191.6	100	10	11	1	37	4.3	13.657480315	7.11111111111	3	-2378	0
105561	54550000	29	13.7790306288	3669	266.274174058	179763.0	48.9950940311	-1000.0	100000.0	0.959662033252	0	2	68.3348143354	-244.0	554.303632619	827448.0	193.031	14281.0	100	7	16	3	55	3.26315789474	10.3595890411	14.8	2	-2938	0
109195	54550000	30	13.5855801427	3634	267.489497086	182303.0	50.1659328564	-1002.0	100000.0	0.962300495322	0	2	69.2188177457	-234.0	552.413044829	808095.0	186.704	13990.8	100	8	12	2	56	3.08620689655	10.4828767123	25.8571428571	2	-2536	0
