step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	mean_eps	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
2728	1750000	1	7.21889277537	2728	377.897287698	3278537.0	1201.80975073	-1000.0	101615.5	0.87426686217	0	2	82.8946594235	-160.0	514.654752768	2703512.10401	532.035342739	116714.369998	0.09987724	430	3	2	2	19	9.13888888889	7.40053050398	4.32989690722	17	90	192
5456	1750000	2	5.63665747282	2728	483.974769294	3150039.5	1154.70656158	-1000.0	101686.5	1.09714076246	0	2	79.712601868	-162.0	535.98407931	6506543.14617	698.29513335	124124.038593	0.0996319	398	5	0	0	14	10.0666666667	7.45214521452	3.22772277228	16	314	370
8184	1750000	3	5.63149564894	2728	484.418380136	2807694.5	1029.21352639	-859.5	101095.5	0.800953079179	0	2	73.2708793355	-144.0	512.568594951	7864193.30929	729.419581394	122550.936687	0.09938638	260	1	2	2	31	8.46666666667	7.74257425743	3.11111111111	14	-72	238
10912	1750000	4	5.57992077915	2728	488.895829882	3385613.5	1241.06066716	-1000.0	101367.5	0.842375366569	0	2	81.8128828787	-120.0	510.0	6595941.85053	707.476795901	119849.856752	0.09914086	510	1	1	2	30	8.26086956522	7.54707379135	3.30909090909	16	210	450
13640	1750000	5	5.63625962176	2728	484.008931999	3481009.5	1276.02987537	-1001.0	101454.5	0.887463343109	0	2	79.8686638127	-118.0	507.579546814	9286867.71032	782.663268953	120862.735635	0.09889534	476	0	1	2	25	9.19512195122	7.72282608696	3.31034482759	16	340	428
16368	1750000	6	5.99244293804	2728	455.240046206	3672714.0	1346.30278592	-715.0	102259.5	0.985703812317	0	2	83.0327104251	-138.0	576.0	9625657.55581	768.865443479	122172.529921	0.09864982	576	0	2	3	22	9.18918918919	7.75851393189	3.17647058824	15	106	414
19096	1750000	7	6.05245761124	2728	450.725998466	4351449.0	1595.10593842	-1001.0	102212.5	0.612536656891	0	2	93.8169014208	-170.0	764.0	8234182.58394	739.459747359	124493.668037	0.0984043	764	0	3	1	28	8.0	8.29032258065	4.8	19	504	686
21824	1750000	8	5.53800787751	2728	492.595904581	2756768.5	1010.54563783	-1000.0	101663.5	0.936217008798	0	2	75.0440807713	-134.0	540.018817828	11054997.9339	765.447471954	125219.859913	0.09815878	270	1	3	2	45	6.03448275862	5.98684210526	3.36448598131	13	-394	50
24552	1750000	9	5.95655894069	2728	457.982541122	4175757.0	1530.70271261	-941.5	102615.5	0.834677419355	0	2	75.069568905	-134.0	517.960051608	9103907.74945	738.374807095	122676.53172	0.09791326	280	1	1	2	43	6.38983050847	6.07157057654	3.48148148148	16	48	250
27280	1750000	10	6.10202334823	2728	447.064824948	3377041.5	1237.91843842	-896.5	101581.5	0.994134897361	0	2	82.2053667462	-196.0	527.22448924	12708453.7054	828.014199444	122470.864358	0.09766774	434	2	0	2	32	7.36170212766	6.37530864198	3.09615384615	15	94	134
